Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Germ-P2S2-Colza-b_S192.ITS1.R1	79.02865468674113	47.0	228.9470616804274	45.45454545454545	10295.0
Germ-P2S2-Colza-b_S192.ITS1.R2	54.45361826129189	45.0	231.00339970859642	45.45454545454545	10295.0
Germ-P2S2-Colza-c_S193.ITS1.R1	78.98534878635469	47.0	228.95003280122458	45.45454545454545	9146.0
Germ-P2S2-Colza-c_S193.ITS1.R2	54.59217144106713	46.0	231.00382680953422	45.45454545454545	9146.0
Germ-P2S2-Colza-myro-a_S194.ITS1.R1	83.65498812351544	47.0	228.95702197149643	45.45454545454545	13472.0
Germ-P2S2-Colza-myro-a_S194.ITS1.R2	59.4269596199525	45.0	231.00282066508314	45.45454545454545	13472.0
Germ-P2S2-Colza-myro-b_S195.ITS1.R1	81.96101495546966	47.0	228.95538564947068	45.45454545454545	11902.0
Germ-P2S2-Colza-myro-b_S195.ITS1.R2	58.12468492690304	45.0	231.00210048731304	45.45454545454545	11902.0
Germ-P2S2-Colza-myro-c_S196.ITS1.R1	85.9626249456758	47.0	228.957658161048	45.45454545454545	16107.0
Germ-P2S2-Colza-myro-c_S196.ITS1.R2	63.83559942881977	46.0	231.00285590116098	45.45454545454545	16107.0
Germ-P2S2-GR24-a_S168.ITS1.R1	80.2460421498437	45.0	228.94695976605828	45.45454545454545	9917.0
Germ-P2S2-GR24-a_S168.ITS1.R2	53.39316325501664	43.0	231.00322678229304	45.45454545454545	9917.0
Germ-P2S2-GR24-b_S169.ITS1.R1	83.14948649676683	48.0	228.95340433624952	45.45454545454545	10516.0
Germ-P2S2-GR24-b_S169.ITS1.R2	54.67858501331305	47.0	231.0028527957398	45.45454545454545	10516.0
Germ-P2S2-GR24-c_S170.ITS1.R1	80.53222453222453	44.0	228.9485239085239	45.45454545454545	12025.0
Germ-P2S2-GR24-c_S170.ITS1.R2	56.45738045738046	43.0	231.00299376299375	45.45454545454545	12025.0
Germ-P2S2-Tabac-a_S220.ITS1.R1	80.96969696969697	45.0	228.95333333333335	45.45454545454545	11550.0
Germ-P2S2-Tabac-a_S220.ITS1.R2	55.238095238095234	43.0	231.00320346320348	45.45454545454545	11550.0
Germ-P2S2-Tabac-b_S221.ITS1.R1	84.31813075713323	47.0	228.95768741106866	45.45454545454545	13353.0
