Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Seed-P1S2-c_S41.16S.R2	79.39805221715707	53.0	231.00010360547037	45.45454545454545	19304.0
Seed-P1S3-a_S49.16S.R1	85.11464670098269	52.0	231.99995320542817	45.45454545454545	21370.0
Seed-P1S3-a_S49.16S.R2	77.82873186710341	52.0	231.00004679457183	45.45454545454545	21370.0
Seed-P1S3-b_S57.16S.R1	86.0406561261895	52.0	231.99992594512534	45.45454545454545	27007.0
Seed-P1S3-b_S57.16S.R2	78.93138815862554	52.0	231.00022216462398	45.45454545454545	27007.0
Seed-P1S3-c_S65.16S.R1	84.76112026359144	52.0	230.9886509244005	45.45454545454545	21852.0
Seed-P1S3-c_S65.16S.R2	77.38422112392459	52.0	231.00018304960645	45.45454545454545	21852.0
Seed-P1S4-a_S73.16S.R1	86.6383080225809	52.0	231.99992048978294	45.45454545454545	25154.0
Seed-P1S4-a_S73.16S.R2	80.43253558082213	53.0	231.00007951021706	45.45454545454545	25154.0
Seed-P1S4-b_S81.16S.R1	86.34066764811205	52.0	231.9998806350217	45.45454545454545	25133.0
Seed-P1S4-b_S81.16S.R2	79.8312974973143	52.0	231.0000795766522	45.45454545454545	25133.0
Seed-P1S4-c_S88.16S.R1	86.74651353568498	52.0	231.99990155865464	45.45454545454545	30475.0
Seed-P1S4-c_S88.16S.R2	79.4585726004922	52.0	231.00042657916325	45.45454545454545	30475.0
Seed-P2S1-a_S2.16S.R1	88.08600337268128	51.0	231.99987352445194	45.45454545454545	23720.0
Seed-P2S1-a_S2.16S.R2	78.67200674536257	52.0	231.00016863406407	36.36363636363637	23720.0
Seed-P2S1-b_S10.16S.R1	86.90955213435969	51.0	232.0	45.45454545454545	22864.0
Seed-P2S1-b_S10.16S.R2	81.51679496151155	52.0	231.00026242127362	45.45454545454545	22864.0
Seed-P2S1-c_S18.16S.R1	85.39976133651551	52.0	231.99988066825776	45.45454545454545	16760.0
Seed-P2S1-c_S18.16S.R2	80.01789976133651	52.0	231.00035799522672	36.36363636363637	16760.0
Seed-P2S2-a_S26.16S.R1	88.76706198254644	53.0	231.99988811814723	45.45454545454545	17876.0
Seed-P2S2-a_S26.16S.R2	84.09599462967107	54.0	231.00011188185277	45.45454545454545	17876.0
Seed-P2S2-b_S34.16S.R1	87.50642145278948	52.0	231.9999486283777	45.45454545454545	19466.0
Seed-P2S2-b_S34.16S.R2	82.04561800061646	52.0	231.0003082297339	45.45454545454545	19466.0
Seed-P2S2-c_S42.16S.R1	87.46911565894364	52.0	231.9999533821267	45.45454545454545	21451.0
Seed-P2S2-c_S42.16S.R2	81.87963265115846	52.0	231.00013985361988	45.45454545454545	21451.0
Seed-P2S3-a_S50.16S.R1	86.76744964837583	51.0	232.0	45.45454545454545	20903.0
Seed-P2S3-a_S50.16S.R2	81.15103095249486	52.0	231.0002392001148	45.45454545454545	20903.0
Seed-P2S3-b_S58.16S.R1	87.32907930720145	51.0	232.0	45.45454545454545	25231.0
Seed-P2S3-b_S58.16S.R2	82.24010146248662	52.0	231.00015853513534	45.45454545454545	25231.0
Seed-P2S3-c_S66.16S.R1	86.65298657269037	51.0	232.0	45.45454545454545	22417.0
Seed-P2S3-c_S66.16S.R2	81.38912432528885	52.0	231.00031226301468	45.45454545454545	22417.0
Seed-P2S4-a_S74.16S.R1	86.7810376263882	51.0	231.99995856124647	45.45454545454545	24132.0
