Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Germ-P4S1-Colza-myro-a_S208.16S.R1	Germ-P4S1-Colza-myro-a_S208.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19453.0	0.0	231-232	53.0	14.337120238523621	231.99984578214156	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-Colza-myro-a_S208.16S.R2	Germ-P4S1-Colza-myro-a_S208.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19453.0	0.0	230-231	54.0	20.706317791600267	230.99979437618876	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-Colza-myro-b_S209.16S.R1	Germ-P4S1-Colza-myro-b_S209.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19078.0	0.0	232.0	53.0	13.738337351923683	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P4S1-Colza-myro-b_S209.16S.R2	Germ-P4S1-Colza-myro-b_S209.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19078.0	0.0	230-232	53.0	20.52626061432016	231.00026208197923	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Colza-myro-c_S210.16S.R1	Germ-P4S1-Colza-myro-c_S210.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20587.0	0.0	232.0	53.0	13.508524797202117	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P4S1-Colza-myro-c_S210.16S.R2	Germ-P4S1-Colza-myro-c_S210.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20587.0	0.0	230-232	54.0	19.284014183708166	231.00019429737213	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-GR24-a_S181.16S.R1	Germ-P4S1-GR24-a_S181.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22723.0	0.0	231-232	53.0	14.698763367513093	231.99995599172644	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-GR24-a_S181.16S.R2	Germ-P4S1-GR24-a_S181.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22723.0	0.0	231-232	54.0	22.166967389869296	231.00044008273557	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-GR24-b_S182.16S.R1	Germ-P4S1-GR24-b_S182.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23453.0	0.0	231-232	53.0	13.831919157463865	231.99987208459473	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-GR24-b_S182.16S.R2	Germ-P4S1-GR24-b_S182.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23453.0	0.0	230-232	53.0	21.707244275785616	231.00008527693686	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-GR24-c_S183.16S.R1	Germ-P4S1-GR24-c_S183.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23174.0	0.0	231-232	54.0	12.20333131958229	231.99995684819194	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-GR24-c_S183.16S.R2	Germ-P4S1-GR24-c_S183.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23174.0	0.0	230-232	54.0	17.019073099162853	231.00012945542417	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-Tabac-a_S232.16S.R1	Germ-P4S1-Tabac-a_S232.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22251.0	0.0	232.0	53.0	13.397150689856636	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P4S1-Tabac-a_S232.16S.R2	Germ-P4S1-Tabac-a_S232.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22251.0	0.0	230-232	53.0	19.922700103366143	231.00013482540112	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-Tabac-b_S233.16S.R1	Germ-P4S1-Tabac-b_S233.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19826.0	0.0	231-232	53.0	14.168263895894281	231.9999495611823	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Tabac-b_S233.16S.R2	Germ-P4S1-Tabac-b_S233.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19826.0	0.0	230-232	53.0	22.14768485826692	231.00020175527087	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-Tabac-c_S234.16S.R1	Germ-P4S1-Tabac-c_S234.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23376.0	0.0	232.0	53.0	13.93309377138946	232.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
Germ-P4S1-Tabac-c_S234.16S.R2	Germ-P4S1-Tabac-c_S234.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23376.0	0.0	230-232	53.0	20.897501711156742	231.0001711156742	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P6S1-ACN-a_S184.16S.R1	Germ-P6S1-ACN-a_S184.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22119.0	0.0	231-232	53.0	11.320584113205841	231.9999095799991	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P6S1-ACN-a_S184.16S.R2	Germ-P6S1-ACN-a_S184.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22119.0	0.0	231-232	54.0	15.601971156019712	231.00022605000225	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P6S1-ACN-b_S185.16S.R1	Germ-P6S1-ACN-b_S185.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21659.0	0.0	231-232	52.0	10.780737799529064	231.9999076596334	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-ACN-b_S185.16S.R2	Germ-P6S1-ACN-b_S185.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21659.0	0.0	230-232	53.0	14.418948243224525	230.9999076596334	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-ACN-c_S186.16S.R1	Germ-P6S1-ACN-c_S186.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18504.0	0.0	231-232	52.0	11.392131431041937	231.99994595763079	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-ACN-c_S186.16S.R2	Germ-P6S1-ACN-c_S186.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18504.0	0.0	230-232	53.0	15.785776048421962	231.00010808473843	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Chanvre-a_S235.16S.R1	Germ-P6S1-Chanvre-a_S235.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21404.0	0.0	231-232	52.0	13.441412820033637	231.99985983928238	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Chanvre-a_S235.16S.R2	Germ-P6S1-Chanvre-a_S235.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21404.0	0.0	231-232	53.0	19.772005232666793	231.00042048215286	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Chanvre-b_S236.16S.R1	Germ-P6S1-Chanvre-b_S236.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22137.0	0.0	231-232	53.0	11.243619279938564	231.99995482676061	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Chanvre-b_S236.16S.R2	Germ-P6S1-Chanvre-b_S236.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22137.0	0.0	230-232	54.0	16.592130821701222	230.99995482676061	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Chanvre-c_S237.16S.R1	Germ-P6S1-Chanvre-c_S237.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23064.0	0.0	190-232	53.0	10.731009365244537	231.99813562261534	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Chanvre-c_S237.16S.R2	Germ-P6S1-Chanvre-c_S237.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23064.0	0.0	230-232	54.0	15.665105792577178	231.00021678806797	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Colza-a_S211.16S.R1	Germ-P6S1-Colza-a_S211.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	26145.0	0.0	231-232	52.0	12.434499904379424	231.99996175176898	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Colza-a_S211.16S.R2	Germ-P6S1-Colza-a_S211.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	26145.0	0.0	230-232	53.0	17.873398355326067	231.00007649646204	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Colza-b_S212.16S.R1	Germ-P6S1-Colza-b_S212.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23850.0	0.0	232.0	52.0	13.484276729559749	232.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
Germ-P6S1-Colza-b_S212.16S.R2	Germ-P6S1-Colza-b_S212.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23850.0	0.0	230-232	52.0	19.38784067085954	231.00012578616352	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Germ-P6S1-Colza-c_S213.16S.R1	Germ-P6S1-Colza-c_S213.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21983.0	0.0	231-232	52.0	12.477823772915436	231.99990902060682	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Colza-c_S213.16S.R2	Germ-P6S1-Colza-c_S213.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21983.0	0.0	230-232	53.0	18.291406996315335	231.00013646908974	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P6S1-Colza-myro-a_S214.16S.R1	Germ-P6S1-Colza-myro-a_S214.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19322.0	0.0	231-232	52.0	13.388883138391472	231.9998447365697	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P6S1-Colza-myro-a_S214.16S.R2	Germ-P6S1-Colza-myro-a_S214.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19322.0	0.0	230-232	53.0	20.422316530379877	231.00010350895352	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P6S1-Colza-myro-b_S215.16S.R1	Germ-P6S1-Colza-myro-b_S215.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21015.0	0.0	231-232	52.0	13.518915060670949	231.9999524149417	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Colza-myro-b_S215.16S.R2	Germ-P6S1-Colza-myro-b_S215.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21015.0	0.0	230-232	53.0	20.275993338091837	231.00033309540805	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Colza-myro-c_S216.16S.R1	Germ-P6S1-Colza-myro-c_S216.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22265.0	0.0	231-232	52.0	14.215135863462832	231.99991017291714	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Colza-myro-c_S216.16S.R2	Germ-P6S1-Colza-myro-c_S216.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22265.0	0.0	230-232	53.0	20.49404895576016	231.00004491354144	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P6S1-GR24-a_S187.16S.R1	Germ-P6S1-GR24-a_S187.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20153.0	0.0	231-232	53.0	13.556294348235994	231.9999503795961	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-GR24-a_S187.16S.R2	Germ-P6S1-GR24-a_S187.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20153.0	0.0	231-232	53.0	19.371805686498288	231.0004962040391	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-GR24-b_S188.16S.R1	Germ-P6S1-GR24-b_S188.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19410.0	0.0	231-232	53.0	13.894899536321484	231.9998454404946	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-GR24-b_S188.16S.R2	Germ-P6S1-GR24-b_S188.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19410.0	0.0	230-232	53.0	20.33487892838743	231.0001545595054	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-GR24-c_S189.16S.R1	Germ-P6S1-GR24-c_S189.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19175.0	0.0	232.0	53.0	11.535853976531943	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P6S1-GR24-c_S189.16S.R2	Germ-P6S1-GR24-c_S189.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19175.0	0.0	230-232	54.0	15.650586701434161	231.0001564537158	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Tabac-a_S238.16S.R1	Germ-P6S1-Tabac-a_S238.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23041.0	0.0	232.0	52.0	13.358795191180938	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P6S1-Tabac-a_S238.16S.R2	Germ-P6S1-Tabac-a_S238.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23041.0	0.0	230-232	52.0	19.469641074606137	231.0	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P6S1-Tabac-b_S239.16S.R1	Germ-P6S1-Tabac-b_S239.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23906.0	0.0	231-232	51.0	15.623692796787417	231.99991633899438	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Tabac-b_S239.16S.R2	Germ-P6S1-Tabac-b_S239.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23906.0	0.0	231-232	52.0	23.960512005354303	231.0001254915084	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Tabac-c_S240.16S.R1	Germ-P6S1-Tabac-c_S240.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22718.0	0.0	231-232	51.0	13.192182410423452	231.99991196408135	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P6S1-Tabac-c_S240.16S.R2	Germ-P6S1-Tabac-c_S240.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22718.0	0.0	230-232	52.0	19.570384716964522	231.00008803591865	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-Control-a_S80.16S.R1	Seed-Control-a_S80.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	28699.0	0.0	232.0	52.0	12.077075856301613	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-Control-a_S80.16S.R2	Seed-Control-a_S80.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	28699.0	0.0	230-232	52.0	16.314157287710373	231.000209066518	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-H2O-a_S8.16S.R1	Seed-H2O-a_S8.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23905.0	0.0	231-232	52.0	12.344697761974482	231.99995816774734	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-H2O-a_S8.16S.R2	Seed-H2O-a_S8.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23905.0	0.0	230-232	53.0	21.02489019033675	231.000125496758	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-H2O-b_S16.16S.R1	Seed-H2O-b_S16.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23610.0	0.0	232.0	53.0	14.701397712833545	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-H2O-b_S16.16S.R2	Seed-H2O-b_S16.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23610.0	0.0	230-232	53.0	19.445150360016942	231.00012706480305	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Seed-H2O-c_S24.16S.R1	Seed-H2O-c_S24.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	26263.0	0.0	231-232	53.0	14.842173399840078	231.99996192361877	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-H2O-c_S24.16S.R2	Seed-H2O-c_S24.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	26263.0	0.0	230-232	53.0	20.340402848113314	231.0001523055249	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-Mock-a_S79.16S.R1	Seed-Mock-a_S79.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17500.0	0.0	231-232	54.0	8.422857142857143	231.99994285714286	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-Mock-a_S79.16S.R2	Seed-Mock-a_S79.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17500.0	0.0	230-232	55.0	11.588571428571429	231.00028571428572	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P1S1-a_S1.16S.R1	Seed-P1S1-a_S1.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	26855.0	0.0	214-232	52.0	13.189350214112828	231.99929249674176	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P1S1-a_S1.16S.R2	Seed-P1S1-a_S1.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	26855.0	0.0	230-232	52.0	23.165146155278347	230.9999627629864	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S1-b_S9.16S.R1	Seed-P1S1-b_S9.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	25606.0	0.0	231-232	52.0	14.149027571662891	231.99996094665312	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P1S1-b_S9.16S.R2	Seed-P1S1-b_S9.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	25606.0	0.0	230-232	52.0	20.46004842615012	231.00003905334688	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S1-c_S17.16S.R1	Seed-P1S1-c_S17.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	24785.0	0.0	231-232	52.0	14.686302198910631	231.99995965301594	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P1S1-c_S17.16S.R2	Seed-P1S1-c_S17.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	24785.0	0.0	230-232	53.0	20.903772443009885	231.0002420819044	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S2-a_S25.16S.R1	Seed-P1S2-a_S25.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21858.0	0.0	231-232	52.0	13.390978131576539	231.99986275048036	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P1S2-a_S25.16S.R2	Seed-P1S2-a_S25.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21858.0	0.0	231-232	53.0	18.752859364992222	231.0004117485589	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S2-b_S33.16S.R1	Seed-P1S2-b_S33.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19422.0	0.0	231-232	52.0	14.483575326948822	231.9998970239934	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P1S2-b_S33.16S.R2	Seed-P1S2-b_S33.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19422.0	0.0	230-232	53.0	19.98249407887962	231.00020595201318	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S2-c_S41.16S.R1	Seed-P1S2-c_S41.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19304.0	0.0	232.0	52.0	14.680895151263988	232.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
Seed-P1S2-c_S41.16S.R2	Seed-P1S2-c_S41.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19304.0	0.0	230-232	53.0	20.601947782842934	231.00010360547037	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S3-a_S49.16S.R1	Seed-P1S3-a_S49.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21370.0	0.0	231-232	52.0	14.885353299017314	231.99995320542817	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S3-a_S49.16S.R2	Seed-P1S3-a_S49.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21370.0	0.0	230-232	52.0	22.171268132896586	231.00004679457183	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S3-b_S57.16S.R1	Seed-P1S3-b_S57.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	27007.0	0.0	231-232	52.0	13.959343873810493	231.99992594512534	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S3-b_S57.16S.R2	Seed-P1S3-b_S57.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	27007.0	0.0	230-232	52.0	21.06861184137446	231.00022216462398	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S3-c_S65.16S.R1	Seed-P1S3-c_S65.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21852.0	0.0	108-232	52.0	15.238879736408567	230.9886509244005	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S3-c_S65.16S.R2	Seed-P1S3-c_S65.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21852.0	0.0	230-232	52.0	22.615778876075414	231.00018304960645	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S4-a_S73.16S.R1	Seed-P1S4-a_S73.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	25154.0	0.0	231-232	52.0	13.361691977419099	231.99992048978294	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S4-a_S73.16S.R2	Seed-P1S4-a_S73.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	25154.0	0.0	230-232	53.0	19.567464419177867	231.00007951021706	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S4-b_S81.16S.R1	Seed-P1S4-b_S81.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	25133.0	0.0	231-232	52.0	13.659332351887956	231.9998806350217	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S4-b_S81.16S.R2	Seed-P1S4-b_S81.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	25133.0	0.0	230-232	52.0	20.16870250268571	231.0000795766522	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S4-c_S88.16S.R1	Seed-P1S4-c_S88.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	30475.0	0.0	231-232	52.0	13.253486464315012	231.99990155865464	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P1S4-c_S88.16S.R2	Seed-P1S4-c_S88.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	30475.0	0.0	230-232	52.0	20.541427399507796	231.00042657916325	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S1-a_S2.16S.R1	Seed-P2S1-a_S2.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23720.0	0.0	231-232	51.0	11.913996627318719	231.99987352445194	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S1-a_S2.16S.R2	Seed-P2S1-a_S2.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23720.0	0.0	230-232	52.0	21.327993254637438	231.00016863406407	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P2S1-b_S10.16S.R1	Seed-P2S1-b_S10.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22864.0	0.0	232.0	51.0	13.090447865640309	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Seed-P2S1-b_S10.16S.R2	Seed-P2S1-b_S10.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22864.0	0.0	230-232	52.0	18.483205038488453	231.00026242127362	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S1-c_S18.16S.R1	Seed-P2S1-c_S18.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16760.0	0.0	231-232	52.0	14.600238663484486	231.99988066825776	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S1-c_S18.16S.R2	Seed-P2S1-c_S18.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16760.0	0.0	230-232	52.0	19.982100238663485	231.00035799522672	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Seed-P2S2-a_S26.16S.R1	Seed-P2S2-a_S26.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17876.0	0.0	231-232	53.0	11.232938017453568	231.99988811814723	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S2-a_S26.16S.R2	Seed-P2S2-a_S26.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17876.0	0.0	230-232	54.0	15.904005370328933	231.00011188185277	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S2-b_S34.16S.R1	Seed-P2S2-b_S34.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19466.0	0.0	231-232	52.0	12.493578547210522	231.9999486283777	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S2-b_S34.16S.R2	Seed-P2S2-b_S34.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19466.0	0.0	230-232	52.0	17.95438199938354	231.0003082297339	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S2-c_S42.16S.R1	Seed-P2S2-c_S42.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21451.0	0.0	231-232	52.0	12.530884341056362	231.9999533821267	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S2-c_S42.16S.R2	Seed-P2S2-c_S42.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21451.0	0.0	230-232	52.0	18.120367348841544	231.00013985361988	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Seed-P2S3-a_S50.16S.R1	Seed-P2S3-a_S50.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20903.0	0.0	232.0	51.0	13.23255035162417	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
