Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Germ-P2S2-Tabac-a_S220.16S.R1	11.636859802153891	61.8683300034112
Germ-P2S2-Tabac-a_S220.16S.R2	14.468105842795184	50.095024608937166
Germ-P2S2-Tabac-b_S221.16S.R1	19.790659309403267	55.11121224187953
Germ-P2S2-Tabac-b_S221.16S.R2	21.838557369588713	43.83639569941403
Germ-P2S2-Tabac-c_S222.16S.R1	13.183793775291003	61.392816106309645
Germ-P2S2-Tabac-c_S222.16S.R2	14.162961482739671	51.98081630613977
Germ-P3S2-ACN-a_S172.16S.R1	13.244138411923648	64.05037915105025
Germ-P3S2-ACN-a_S172.16S.R2	13.440251024143643	55.08149568552252
Germ-P3S2-ACN-b_S173.16S.R1	15.307722461779694	60.87808702469623
Germ-P3S2-ACN-b_S173.16S.R2	12.02469619756958	55.76244609956879
Germ-P3S2-ACN-c_S174.16S.R1	24.12940670679278	54.55717970765262
Germ-P3S2-ACN-c_S174.16S.R2	26.219905417024936	46.313413585554656
Germ-P3S2-Chanvre-a_S223.16S.R1	18.60081658291457	61.23586683417088
Germ-P3S2-Chanvre-a_S223.16S.R2	23.1509108040201	51.731312814070364
Germ-P3S2-Chanvre-b_S224.16S.R1	15.165003147198993	61.89641219314807
Germ-P3S2-Chanvre-b_S224.16S.R2	18.95512993435842	52.48628720438808
Germ-P3S2-Chanvre-c_S225.16S.R1	19.868150766731954	58.94520613385566
Germ-P3S2-Chanvre-c_S225.16S.R2	22.02742081880285	51.07724645296898
Germ-P3S2-Colza-a_S198.16S.R1	18.619246861924683	57.10367271036725
Germ-P3S2-Colza-a_S198.16S.R2	19.01906090190609	48.65178986517901
Germ-P3S2-Colza-b_S199.16S.R1	12.953057271972702	62.146085031817755
Germ-P3S2-Colza-b_S199.16S.R2	13.326570137415844	54.468320575486445
Germ-P3S2-Colza-c_S200.16S.R1	14.30707635907578	60.57112536780649
Germ-P3S2-Colza-c_S200.16S.R2	14.466258260575948	49.91558535526507
Germ-P3S2-Colza-myro-a_S201.16S.R1	14.518025078369906	62.04937304075233
Germ-P3S2-Colza-myro-a_S201.16S.R2	12.847766457680251	55.451606583072035
