id	Category	sample	host	plot	MLG	pielou_e
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric
Germ_P2S2_Colza_myro_b	Germ	P2S2	oIlseed_rape	P2	MLG17	0.686097674527017
Germ_P2S2_Colza_myro_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.653066398029991
Germ_P2S2_Chanvre_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.689111209674285
Germ_P2S2_Chanvre_b	Germ	P2S2	oIlseed_rape	P2	MLG17	0.550351413633271
Germ_P2S2_Chanvre_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.689313873250669
Germ_P2S2_Tabac_a	Germ	P2S2	oIlseed_rape	P2	MLG17	0.72670989548816
Germ_P2S2_Tabac_b	Germ	P2S2	oIlseed_rape	P2	MLG17	0.653194649368967
Germ_P2S2_Tabac_c	Germ	P2S2	oIlseed_rape	P2	MLG17	0.736421891464086
Seed_P2S3_a	Seed	P2S3	oIlseed_rape	P2	MLG17	0.682724059824897
Seed_P2S3_b	Seed	P2S3	oIlseed_rape	P2	MLG17	0.680755189602429
Seed_P2S3_c	Seed	P2S3	oIlseed_rape	P2	MLG17	0.663423116347414
Soil_P2S3_a	Soil	P2S3	oIlseed_rape	P2	MLG17	0.718502209043976
Soil_P2S3_b	Soil	P2S3	oIlseed_rape	P2	MLG17	0.79890211724393
Soil_P2S3_c	Soil	P2S3	oIlseed_rape	P2	MLG17	0.804992130507503
Seed_P2S4_a	Seed	P2S4	oIlseed_rape	P2	MLG17	0.461787901659336
Seed_P2S4_b	Seed	P2S4	oIlseed_rape	P2	MLG17	0.503566925248771
Seed_P2S4_c	Seed	P2S4	oIlseed_rape	P2	MLG17	0.490071046140946
Soil_P2S4_a	Soil	P2S4	oIlseed_rape	P2	MLG17	0.78348908116037
Soil_P2S4_b	Soil	P2S4	oIlseed_rape	P2	MLG17	0.743178610180934
Soil_P2S4_c	Soil	P2S4	oIlseed_rape	P2	MLG17	0.726010918357558
Seed_P3S1_a	Seed	P3S1	tobacco	P3	MLG6	0.578803373844617
Seed_P3S1_b	Seed	P3S1	tobacco	P3	MLG6	0.451777067804351
Seed_P3S1_c	Seed	P3S1	tobacco	P3	MLG6	0.583597473593101
Soil_P3S1_a	Soil	P3S1	tobacco	P3	MLG6	0.727021346072387
Soil_P3S1_b	Soil	P3S1	tobacco	P3	MLG6	0.761765733904591
Soil_P3S1_c	Soil	P3S1	tobacco	P3	MLG6	0.752017265374468
Seed_P3S2_a	Seed	P3S2	tobacco	P3	MLG7	0.57865797122951
Seed_P3S2_b	Seed	P3S2	tobacco	P3	MLG7	0.57169917212648
Seed_P3S2_c	Seed	P3S2	tobacco	P3	MLG7	0.595990828542692
Soil_P3S2_a	Soil	P3S2	tobacco	P3	MLG7	0.708997040669455
Soil_P3S2_b	Soil	P3S2	tobacco	P3	MLG7	0.6995119410219
Soil_P3S2_c	Soil	P3S2	tobacco	P3	MLG7	0.750123725352672
Germ_P3S2_ACN_a	Germ	P3S2	tobacco	P3	MLG7	0.602445107232162
Germ_P3S2_ACN_b	Germ	P3S2	tobacco	P3	MLG7	0.633301228774053
Germ_P3S2_ACN_c	Germ	P3S2	tobacco	P3	MLG7	0.630837043155967
Germ_P3S2_GR24_a	Germ	P3S2	tobacco	P3	MLG7	0.750196017346213
Germ_P3S2_GR24_b	Germ	P3S2	tobacco	P3	MLG7	0.705339150043695
Germ_P3S2_GR24_c	Germ	P3S2	tobacco	P3	MLG7	0.584104468083865
Germ_P3S2_Colza_a	Germ	P3S2	tobacco	P3	MLG7	0.55093698046686
Germ_P3S2_Colza_b	Germ	P3S2	tobacco	P3	MLG7	0.481471999024281
Germ_P3S2_Colza_c	Germ	P3S2	tobacco	P3	MLG7	0.520912771793421
Germ_P3S2_Colza_myro_a	Germ	P3S2	tobacco	P3	MLG7	0.664106953879386
Germ_P3S2_Colza_myro_b	Germ	P3S2	tobacco	P3	MLG7	0.598021370784249
Germ_P3S2_Colza_myro_c	Germ	P3S2	tobacco	P3	MLG7	0.477755142539238
Germ_P3S2_Chanvre_a	Germ	P3S2	tobacco	P3	MLG7	0.615458775825142
Germ_P3S2_Chanvre_b	Germ	P3S2	tobacco	P3	MLG7	0.688676416283275
Germ_P3S2_Chanvre_c	Germ	P3S2	tobacco	P3	MLG7	0.745404049574931
Germ_P3S2_Tabac_a	Germ	P3S2	tobacco	P3	MLG7	0.613199256010098
Germ_P3S2_Tabac_b	Germ	P3S2	tobacco	P3	MLG7	0.62319832689122
Germ_P3S2_Tabac_c	Germ	P3S2	tobacco	P3	MLG7	0.67103466043004
Seed_P3S3_a	Seed	P3S3	tobacco	P3	MLG7	0.513115006914777
Seed_P3S3_b	Seed	P3S3	tobacco	P3	MLG7	0.521199057129799
Seed_P3S3_c	Seed	P3S3	tobacco	P3	MLG7	0.473777490917763
Soil_P3S3_a	Soil	P3S3	tobacco	P3	MLG7	0.671448330664974
Soil_P3S3_b	Soil	P3S3	tobacco	P3	MLG7	0.752229784477977
Soil_P3S3_c	Soil	P3S3	tobacco	P3	MLG7	0.817542513272357
Seed_P3S4_a	Seed	P3S4	tobacco	P3	MLG7	0.54605532312234
Seed_P3S4_b	Seed	P3S4	tobacco	P3	MLG7	0.556452855948108
Seed_P3S4_c	Seed	P3S4	tobacco	P3	MLG7	0.589974891004669
Soil_P3S4_a	Soil	P3S4	tobacco	P3	MLG7	0.773167017730652
Soil_P3S4_b	Soil	P3S4	tobacco	P3	MLG7	0.753334180112149
Soil_P3S4_c	Soil	P3S4	tobacco	P3	MLG7	0.791799554403917
Seed_P3S5_a	Seed	P3S5	tobacco	P3	MLG5	0.582120974695542
Seed_P3S5_b	Seed	P3S5	tobacco	P3	MLG5	0.509236061271817
Seed_P3S5_c	Seed	P3S5	tobacco	P3	MLG5	0.605398502459237
Soil_P3S5_b	Soil	P3S5	tobacco	P3	MLG5	0.823844284374357
Soil_P3S5_c	Soil	P3S5	tobacco	P3	MLG5	0.799139227254232
Seed_P4S1_a	Seed	P4S1	tobacco	P4	MLG1	0.622388319224778
Seed_P4S1_b	Seed	P4S1	tobacco	P4	MLG1	0.662535802146186
Seed_P4S1_c	Seed	P4S1	tobacco	P4	MLG1	0.655947783825918
Soil_P4S1_a	Soil	P4S1	tobacco	P4	MLG1	0.77758077624919
Soil_P4S1_b	Soil	P4S1	tobacco	P4	MLG1	0.725936264207543
Soil_P4S1_c	Soil	P4S1	tobacco	P4	MLG1	0.765189031517569
Germ_P4S1_GR24_b	Germ	P4S1	tobacco	P4	MLG1	0.725811731183072
Germ_P4S1_Colza_b	Germ	P4S1	tobacco	P4	MLG1	0.634285004587876
Germ_P4S1_Colza_c	Germ	P4S1	tobacco	P4	MLG1	0.580569477250493
Germ_P4S1_Chanvre_b	Germ	P4S1	tobacco	P4	MLG1	0.629942317629897
Germ_P4S1_Chanvre_c	Germ	P4S1	tobacco	P4	MLG1	0.738452021309797
Germ_P4S1_Tabac_a	Germ	P4S1	tobacco	P4	MLG1	0.688786611539239
Germ_P4S1_Tabac_b	Germ	P4S1	tobacco	P4	MLG1	0.659401509757462
Seed_P4S2_a	Seed	P4S2	tobacco	P4	MLG2	0.668626665580226
Seed_P4S2_b	Seed	P4S2	tobacco	P4	MLG2	0.654186713944419
Seed_P4S2_c	Seed	P4S2	tobacco	P4	MLG2	0.667963406347096
Soil_P4S2_a	Soil	P4S2	tobacco	P4	MLG2	0.665121140739848
Soil_P4S2_b	Soil	P4S2	tobacco	P4	MLG2	0.77560411246096
Soil_P4S2_c	Soil	P4S2	tobacco	P4	MLG2	0.721767698320551
Seed_P4S3_a	Seed	P4S3	tobacco	P4	MLG3	0.655641599103475
Seed_P4S3_b	Seed	P4S3	tobacco	P4	MLG3	0.655394170883888
Seed_P4S3_c	Seed	P4S3	tobacco	P4	MLG3	0.654186754077642
Soil_P4S3_a	Soil	P4S3	tobacco	P4	MLG3	0.787013763512699
Soil_P4S3_b	Soil	P4S3	tobacco	P4	MLG3	0.756357521592872
Soil_P4S3_c	Soil	P4S3	tobacco	P4	MLG3	0.791371871290471
Seed_P4S4_a	Seed	P4S4	tobacco	P4	MLG4	0.664956767051178
Seed_P4S4_b	Seed	P4S4	tobacco	P4	MLG4	0.658965104746203
Seed_P4S4_c	Seed	P4S4	tobacco	P4	MLG4	0.642868062492401
Soil_P4S4_a	Soil	P4S4	tobacco	P4	MLG4	0.784766006505224
Soil_P4S4_b	Soil	P4S4	tobacco	P4	MLG4	0.760629221406773
Soil_P4S4_c	Soil	P4S4	tobacco	P4	MLG4	0.699889473233847
Seed_P5S1_a	Seed	P5S1	tobacco	P5	MLG8	0.607889763680969
Seed_P5S1_b	Seed	P5S1	tobacco	P5	MLG8	0.64691843005571
Seed_P5S1_c	Seed	P5S1	tobacco	P5	MLG8	0.635148720884565
Soil_P5S1_a	Soil	P5S1	tobacco	P5	MLG8	0.705796679380326
Soil_P5S1_b	Soil	P5S1	tobacco	P5	MLG8	0.701201032145164
Soil_P5S1_c	Soil	P5S1	tobacco	P5	MLG8	0.77069513743391
Seed_P5S2_a	Seed	P5S2	tobacco	P5	MLG9	0.630817361709081
Seed_P5S2_b	Seed	P5S2	tobacco	P5	MLG9	0.65648341001369
Seed_P5S2_c	Seed	P5S2	tobacco	P5	MLG9	0.657257807985916
Soil_P5S2_a	Soil	P5S2	tobacco	P5	MLG9	0.658721539036847
Soil_P5S2_b	Soil	P5S2	tobacco	P5	MLG9	0.743414753024276
Soil_P5S2_c	Soil	P5S2	tobacco	P5	MLG9	0.728143049166223
Seed_P6S1_a	Seed	P6S1	hemp	P6	MLG12	0.624963891961432
Seed_P6S1_b	Seed	P6S1	hemp	P6	MLG12	0.646242040703955
Seed_P6S1_c	Seed	P6S1	hemp	P6	MLG12	0.64211966358723
Soil_P6S1_a	Soil	P6S1	hemp	P6	MLG12	0.807339233007142
Soil_P6S1_b	Soil	P6S1	hemp	P6	MLG12	0.781708458895426
Soil_P6S1_c	Soil	P6S1	hemp	P6	MLG12	0.784886196068608
Germ_P6S1_ACN_a	Germ	P6S1	hemp	P6	MLG12	0.421315604401714
Germ_P6S1_ACN_b	Germ	P6S1	hemp	P6	MLG12	0.532703537231044
Germ_P6S1_ACN_c	Germ	P6S1	hemp	P6	MLG12	0.511894206731564
Germ_P6S1_GR24_b	Germ	P6S1	hemp	P6	MLG12	0.611270294921428
Germ_P6S1_Colza_a	Germ	P6S1	hemp	P6	MLG12	0.673849241457993
Germ_P6S1_Colza_c	Germ	P6S1	hemp	P6	MLG12	0.613207150318798
Germ_P6S1_Colza_myro_a	Germ	P6S1	hemp	P6	MLG12	0.741763770907404
Germ_P6S1_Colza_myro_c	Germ	P6S1	hemp	P6	MLG12	0.624930169002324
Germ_P6S1_Chanvre_b	Germ	P6S1	hemp	P6	MLG12	0.532059987602319
Germ_P6S1_Tabac_a	Germ	P6S1	hemp	P6	MLG12	0.704727915912579
Seed_P6S2_a	Seed	P6S2	hemp	P6	MLG11	0.638727662691657
Seed_P6S2_b	Seed	P6S2	hemp	P6	MLG11	0.633281402387615
Seed_P6S2_c	Seed	P6S2	hemp	P6	MLG11	0.624423198448758
Soil_P6S2_a	Soil	P6S2	hemp	P6	MLG11	0.744212805342213
Soil_P6S2_b	Soil	P6S2	hemp	P6	MLG11	0.718904198800732
Soil_P6S2_c	Soil	P6S2	hemp	P6	MLG11	0.667133143307
Seed_P6S3_a	Seed	P6S3	hemp	P6	MLG10	0.622481534975328
Seed_P6S3_b	Seed	P6S3	hemp	P6	MLG10	0.668156540859033
Seed_P6S3_c	Seed	P6S3	hemp	P6	MLG10	0.686258453675902
Soil_P6S3_a	Soil	P6S3	hemp	P6	MLG10	0.760258855145834
Soil_P6S3_b	Soil	P6S3	hemp	P6	MLG10	0.734346736421113
Soil_P6S3_c	Soil	P6S3	hemp	P6	MLG10	0.798446552969189
Seed_P7S1_a	Seed	P7S1	hemp	P7	MLG13	0.634027233606218
Seed_P7S1_b	Seed	P7S1	hemp	P7	MLG13	0.641024988985566
Seed_P7S1_c	Seed	P7S1	hemp	P7	MLG13	0.596070350126172
Soil_P7S1_a	Soil	P7S1	hemp	P7	MLG13	0.684228424605422
Soil_P7S1_b	Soil	P7S1	hemp	P7	MLG13	0.76016601118584
Soil_P7S1_c	Soil	P7S1	hemp	P7	MLG13	0.679488521350066
Seed_P7S2_a	Seed	P7S2	hemp	P7	MLG13	0.623833289737506
Seed_P7S2_b	Seed	P7S2	hemp	P7	MLG13	0.639405352080737
Seed_P7S2_c	Seed	P7S2	hemp	P7	MLG13	0.598271661570349
Soil_P7S2_a	Soil	P7S2	hemp	P7	MLG13	0.820551046072967
Soil_P7S2_b	Soil	P7S2	hemp	P7	MLG13	0.786469535744717
Soil_P7S2_c	Soil	P7S2	hemp	P7	MLG13	0.787471484430374
Seed_P7S3_a	Seed	P7S3	hemp	P7	MLG14	0.666225728722643
Seed_P7S3_b	Seed	P7S3	hemp	P7	MLG14	0.637021153153434
Seed_P7S3_c	Seed	P7S3	hemp	P7	MLG14	0.62540131316011
Soil_P7S3_c	Soil	P7S3	hemp	P7	MLG14	0.76842920395852
Seed_P7S4_a	Seed	P7S4	hemp	P7	MLG14	0.647443844952868
Seed_P7S4_b	Seed	P7S4	hemp	P7	MLG14	0.669539630085567
Seed_P7S4_c	Seed	P7S4	hemp	P7	MLG14	0.676753015150708
Soil_P7S4_a	Soil	P7S4	hemp	P7	MLG14	0.75613473066949
Soil_P7S4_b	Soil	P7S4	hemp	P7	MLG14	0.663379426348642
Soil_P7S4_c	Soil	P7S4	hemp	P7	MLG14	0.777393475599886
Seed_PBS_a	Seed	PBS	NA	NA	NA	0.66933584328901
Seed_PBS_b	Seed	PBS	NA	NA	NA	0.719970711176469
Seed_PBS_c	Seed	PBS	NA	NA	NA	0.687502733410476
Seed_Pram_120_a	Seed	Pram_120	oIlseed_rape	P0	NA	0.573529264331516
Seed_Pram_120_b	Seed	Pram_120	oIlseed_rape	P0	NA	0.598155683670468
Seed_Pram_120_c	Seed	Pram_120	oIlseed_rape	P0	NA	0.565664508971225
Seed_Pram_120_d_a	Seed	Pram_120_d	oIlseed_rape	P0	NA	0.839100161403705
Seed_Pram_120_d_b	Seed	Pram_120_d	oIlseed_rape	P0	NA	0.848588158365437
Seed_Pram_120_d_c	Seed	Pram_120_d	oIlseed_rape	P0	NA	0.811019851397127
