sample,date,molecules,EC50,Sd,p_value,Tmax,Tmax_rel,plot,host,mlg,buvo_gen_dist
P6S3,190306,+eGR24,1.38E-08,1.87E-08,4.69E-01,0.225,1.19327731092437,P6,Hemp,MLG10,0.507745361328125
P7S1,180627,+eGR24,2.69E-09,2.14E-08,9.01E-01,0.395,1.35030663445456,P7,Hemp,MLG13,0.532696533203125
P7S2,190421,+eGR24,1.57E-07,2.20E-08,4.55E-07,0.132,1.98687664041995,P7,Hemp,MLG13,0.532696533203125
P7S3,180613,+eGR24,2.99E-08,2.17E-08,1.91E-01,0.249,0.791338582677165,P7,Hemp,MLG14,0.545196533203125
P7S4,180613,+eGR24,9.11E-09,1.62E-09,1.68E-05,0.419,0.879906268306971,P7,Hemp,MLG14,0.545196533203125
P1S1,180606,+GR24,7.15E-12,2.28E-12,0.00595,0.382,1.28151986183074,P1,Oilseed rape,MLG17,0
P1S2,180606,+GR24,1.54E-12,2.65E-13,1.35E-05,0.418,1.12949976624591,P1,Oilseed rape,MLG17,0
P1S3,180606,+GR24,2.66E-12,1.03E-12,0.0176,0.373,1.43417553191489,P1,Oilseed rape,MLG16,0
P1S4,180606,+GR24,3.17E-12,1.3E-12,0.0243,0.519,1.54647887323944,P1,Oilseed rape,MLG17,0
P2S1,180613,+GR24,1.4E-12,3.03E-13,0.000216,0.488,1.26134253117538,P2,Oilseed rape,MLG15,0
P2S2,180606,+GR24,6.56E-12,6.17E-12,0.303,0.379,1.376928,P2,Oilseed rape,MLG17,0
P2S3,180606,+GR24,2.64E-12,7.24E-14,0.00669,0.512,1.579604578564,P2,Oilseed rape,MLG17,0
P2S4,180613,+GR24,8.76E-13,5.56E-13,0.129,0.45,1.18752824220515,P2,Oilseed rape,MLG17,0
P3S1,190314,+GR24,1.86E-10,6.68E-11,0.0133,0.217,1.43544600938967,P3,Tobacco,MLG6,0.518211364746094
P3S2,180613,+GR24,2.75E-11,9.93E-12,0.0142,0.381,1.39278937381404,P3,Tobacco,MLG7,0.530706787109375
P3S3,180613,+GR24,8.15E-11,2.74E-11,0.00774,0.417,1.57712082262211,P3,Tobacco,MLG7,0.530706787109375
P3S4,180627,+GR24,1.14E-11,3.74E-12,0.0112,1.123,1.46898263027295,P3,Tobacco,MLG7,0.530706787109375
P3S5,180627,+GR24,5.84E-11,2.01E-11,0.00974,0.449,1.20771796093378,P3,Tobacco,MLG5,0.518217468261719
P4S1,180704,+GR24,9.42E-11,3.57E-11,0.0195,0.388,1.15940543311123,P4,Tobacco,MLG1,0.474693298339844
P4S2,180704,+GR24,1.47E-10,3.16E-11,0.000692,0.588,1.04313099041534,P4,Tobacco,MLG2,0.474693298339844
P4S3,180704,+GR24,4.57E-11,5.45E-12,2.99E-07,0.603,0.920454545454546,P4,Tobacco,MLG3,0.493125915527344
P4S4,180704,+GR24,4.39E-10,1.48E-10,0.00873,0.658,1.09762419006479,P4,Tobacco,MLG4,0.480943298339844
P5S1,190306,+GR24,8.81E-11,2.69E-11,0.00476,0.272,1.44637946837764,P5,Tobacco,MLG8,0.524481201171875
P5S2,190306,+GR24,5.48E-11,2.24E-11,0.024,0.477,1.29602220166512,P5,Tobacco,MLG9,0.511993408203125
P6S1,190306,+GR24,2.53E-10,5E-11,6.85E-05,0.299,1.15301349726046,P6,Hemp,MLG12,0.532745361328125
P6S2,190306,+GR24,2.17E-10,6.97E-11,0.00766,0.336,1.17796127562642,P6,Hemp,MLG11,0.520245361328125
P6S3,190306,+GR24,9.65E-11,2.74E-11,0.00228,0.208,1.37062937062937,P6,Hemp,MLG10,0.507745361328125
P7S1,180627,+GR24,1.17E-09,3.93E-10,0.0106,0.273,1.64158829676071,P7,Hemp,MLG13,0.532696533203125
P7S2,190421,+GR24,7.21E-10,2.65E-10,0.0151,0.115,1.576171875,P7,Hemp,MLG13,0.532696533203125
P7S3,180613,+GR24,3.81E-10,1.66E-10,0.0369,0.377,1.03178484107579,P7,Hemp,MLG14,0.545196533203125
P7S4,180613,+GR24,9.48E-11,3.11E-11,0.00669,0.446,1.26138032305433,P7,Hemp,MLG14,0.545196533203125
P1S1,190306,2PEITC,3.43E-09,1.11E-09,0.00612,0.221,1.66929133858268,P1,Oilseed rape,MLG17,0
P1S2,190306,2PEITC,3.07E-08,1.26E-08,0.0246,0.396,1.40975905440218,P1,Oilseed rape,MLG17,0
P1S3,190306,2PEITC,2.97E-08,1.36E-08,0.0378,0.331,1.25327672143253,P1,Oilseed rape,MLG16,0
P1S4,190306,2PEITC,2.59E-08,4.62E-09,3.23E-05,0.327,1.0546875,P1,Oilseed rape,MLG17,0
P2S1,190306,2PEITC,3.95E-08,1.81E-08,0.0386,0.39,1.08530805687204,P2,Oilseed rape,MLG15,0
P2S2,190306,2PEITC,3.28E-08,1.79E-09,1.12E-10,0.447,1.19724770642202,P2,Oilseed rape,MLG17,0
P2S3,190314,2PEITC,1.67E-08,4.77E-09,0.00171,0.39,1.19585883578591,P2,Oilseed rape,MLG17,0
P2S4,190314,2PEITC,1.14E-08,5.08E-09,0.0371,0.349,1.23092783505155,P2,Oilseed rape,MLG17,0
P3S1,190314,2PEITC,5.67E-08,2E-08,0.011,0.215,1.13363028953229,P3,Tobacco,MLG6,0.518211364746094
