#SampleID,Category,plot_sample,host,plot,MLG,quantif_DNA,stimulant,buvo_gen_dist,type,elev,genotype
Seed_P6S1_a,Seed,P6S1,hemp,P6,MLG12,49.29,NA,0.532745361328125,Seed,Seed_NA,G2
Seed_P6S1_b,Seed,P6S1,hemp,P6,MLG12,58.37,NA,0.532745361328125,Seed,Seed_NA,G2
Seed_P6S1_c,Seed,P6S1,hemp,P6,MLG12,53.48,NA,0.532745361328125,Seed,Seed_NA,G2
Seed_P6S2_a,Seed,P6S2,hemp,P6,MLG11,26.69,NA,0.520245361328125,NA,NA,G2
Seed_P6S2_b,Seed,P6S2,hemp,P6,MLG11,58.17,NA,0.520245361328125,NA,NA,G2
Seed_P6S2_c,Seed,P6S2,hemp,P6,MLG11,55.2,NA,0.520245361328125,NA,NA,G2
Seed_P6S3_a,Seed,P6S3,hemp,P6,MLG10,64.17,NA,0.507745361328125,NA,NA,G2
Seed_P6S3_b,Seed,P6S3,hemp,P6,MLG10,67.51,NA,0.507745361328125,NA,NA,G2
Seed_P6S3_c,Seed,P6S3,hemp,P6,MLG10,63.92,NA,0.507745361328125,NA,NA,G2
Seed_P7S1_a,Seed,P7S1,hemp,P7,MLG13,67.37,NA,0.532696533203125,NA,NA,G2
Seed_P7S1_b,Seed,P7S1,hemp,P7,MLG13,36.74,NA,0.532696533203125,NA,NA,G2
Seed_P7S1_c,Seed,P7S1,hemp,P7,MLG13,57.9,NA,0.532696533203125,NA,NA,G2
Seed_P7S2_a,Seed,P7S2,hemp,P7,MLG13,57.5,NA,0.532696533203125,NA,NA,G2
Seed_P7S2_b,Seed,P7S2,hemp,P7,MLG13,60.24,NA,0.532696533203125,NA,NA,G2
Seed_P7S2_c,Seed,P7S2,hemp,P7,MLG13,55.11,NA,0.532696533203125,NA,NA,G2
Seed_P7S3_a,Seed,P7S3,hemp,P7,MLG14,25.63,NA,0.545196533203125,NA,NA,G2
Seed_P7S3_b,Seed,P7S3,hemp,P7,MLG14,54.72,NA,0.545196533203125,NA,NA,G2
Seed_P7S3_c,Seed,P7S3,hemp,P7,MLG14,70.91,NA,0.545196533203125,NA,NA,G2
Seed_P7S4_a,Seed,P7S4,hemp,P7,MLG14,51.38,NA,0.545196533203125,NA,NA,G2
Seed_P7S4_b,Seed,P7S4,hemp,P7,MLG14,71.92,NA,0.545196533203125,NA,NA,G2
Seed_P7S4_c,Seed,P7S4,hemp,P7,MLG14,59.97,NA,0.545196533203125,NA,NA,G2
Soil_P6S1_a,Soil,P6S1,hemp,P6,MLG12,33.75,NA,0.532745361328125,Soil,Soil_NA,G2
Soil_P6S1_b,Soil,P6S1,hemp,P6,MLG12,45.22,NA,0.532745361328125,Soil,Soil_NA,G2
Soil_P6S1_c,Soil,P6S1,hemp,P6,MLG12,51.06,NA,0.532745361328125,Soil,Soil_NA,G2
Soil_P6S2_a,Soil,P6S2,hemp,P6,MLG11,16.2,NA,0.520245361328125,NA,NA,G2
Soil_P6S2_b,Soil,P6S2,hemp,P6,MLG11,34.49,NA,0.520245361328125,NA,NA,G2
Soil_P6S2_c,Soil,P6S2,hemp,P6,MLG11,55.87,NA,0.520245361328125,NA,NA,G2
Soil_P6S3_a,Soil,P6S3,hemp,P6,MLG10,26.87,NA,0.507745361328125,NA,NA,G2
Soil_P6S3_b,Soil,P6S3,hemp,P6,MLG10,15.33,NA,0.507745361328125,NA,NA,G2
Soil_P6S3_c,Soil,P6S3,hemp,P6,MLG10,35.74,NA,0.507745361328125,NA,NA,G2
Soil_P7S1_a,Soil,P7S1,hemp,P7,MLG13,46.5,NA,0.532696533203125,NA,NA,G2
Soil_P7S1_b,Soil,P7S1,hemp,P7,MLG13,37.79,NA,0.532696533203125,NA,NA,G2
Soil_P7S1_c,Soil,P7S1,hemp,P7,MLG13,39.88,NA,0.532696533203125,NA,NA,G2
Soil_P7S2_a,Soil,P7S2,hemp,P7,MLG13,38.43,NA,0.532696533203125,NA,NA,G2
Soil_P7S2_b,Soil,P7S2,hemp,P7,MLG13,44.54,NA,0.532696533203125,NA,NA,G2
Soil_P7S2_c,Soil,P7S2,hemp,P7,MLG13,45.41,NA,0.532696533203125,NA,NA,G2
Soil_P7S3_a,Soil,P7S3,hemp,P7,MLG14,20.54,NA,0.545196533203125,NA,NA,G2
Soil_P7S3_b,Soil,P7S3,hemp,P7,MLG14,45.39,NA,0.545196533203125,NA,NA,G2
Soil_P7S3_c,Soil,P7S3,hemp,P7,MLG14,54.87,NA,0.545196533203125,NA,NA,G2
Soil_P7S4_a,Soil,P7S4,hemp,P7,MLG14,33.53,NA,0.545196533203125,NA,NA,G2
Soil_P7S4_b,Soil,P7S4,hemp,P7,MLG14,23.51,NA,0.545196533203125,NA,NA,G2
Soil_P7S4_c,Soil,P7S4,hemp,P7,MLG14,30.03,NA,0.545196533203125,NA,NA,G2
Germ_Control_a,Germ,Control,NA,NA,NA,64.17,NA,NA,NA,NA,NA
Germ_Control_b,Germ,Control,NA,NA,NA,45.01,NA,NA,NA,NA,NA
Germ_Control_c,Germ,Control,NA,NA,NA,65.84,NA,NA,NA,NA,NA
Germ_Mock_a,Germ,Mock,NA,NA,NA,85.22,NA,NA,NA,NA,NA
Seed_Control_a,Seed,Control,NA,NA,NA,37.21,NA,NA,NA,NA,NA
Seed_H2O_a,Seed,H2O,NA,NA,NA,10.77,NA,NA,NA,NA,NA
Seed_H2O_b,Seed,H2O,NA,NA,NA,52.49,NA,NA,NA,NA,NA
Seed_H2O_c,Seed,H2O,NA,NA,NA,53.9,NA,NA,NA,NA,NA
Seed_Mock_a,Seed,Mock,NA,NA,NA,70.97,NA,NA,NA,NA,NA
Seed_PBS_a,Seed,PBS,NA,NA,NA,81.11,NA,NA,NA,NA,NA
Seed_PBS_b,Seed,PBS,NA,NA,NA,19.21,NA,NA,NA,NA,NA
Seed_PBS_c,Seed,PBS,NA,NA,NA,60.95,NA,NA,NA,NA,NA
Soil_Control_a,Soil,Control,NA,NA,NA,43.24,NA,NA,NA,NA,NA
Soil_Mock_a,Soil,Mock,NA,NA,NA,76.68,NA,NA,NA,NA,NA
Germ_P2S2_ACN_a,Germ,P2S2,oIlseed_rape,P2,MLG17,61.02,ACN,0,Conditioned,Conditioned_ACN,G1
Germ_P2S2_ACN_b,Germ,P2S2,oIlseed_rape,P2,MLG17,49.01,ACN,0,Conditioned,Conditioned_ACN,G1
Germ_P2S2_ACN_c,Germ,P2S2,oIlseed_rape,P2,MLG17,51.97,ACN,0,Conditioned,Conditioned_ACN,G1
Germ_P2S2_Chanvre_a,Germ,P2S2,oIlseed_rape,P2,MLG17,48.28,Hemp,0,Germinated,Germinated_Hemp,G1
Germ_P2S2_Chanvre_b,Germ,P2S2,oIlseed_rape,P2,MLG17,43.49,Hemp,0,Germinated,Germinated_Hemp,G1
Germ_P2S2_Chanvre_c,Germ,P2S2,oIlseed_rape,P2,MLG17,46.18,Hemp,0,Germinated,Germinated_Hemp,G1
Germ_P2S2_Colza_a,Germ,P2S2,oIlseed_rape,P2,MLG17,66.76,Oilseed_rape,0,Germinated,Germinated_Oilseed_rape,G1
Germ_P2S2_Colza_b,Germ,P2S2,oIlseed_rape,P2,MLG17,63.87,Oilseed_rape,0,Germinated,Germinated_Oilseed_rape,G1
Germ_P2S2_Colza_c,Germ,P2S2,oIlseed_rape,P2,MLG17,64.77,Oilseed_rape,0,Germinated,Germinated_Oilseed_rape,G1
Germ_P2S2_Colza_myro_a,Germ,P2S2,oIlseed_rape,P2,MLG17,67.02,Oilseed_rape_myrosinase,0,Germinated,Germinated_Oilseed_rape_myrosinase,G1
Germ_P2S2_Colza_myro_b,Germ,P2S2,oIlseed_rape,P2,MLG17,64.07,Oilseed_rape_myrosinase,0,Germinated,Germinated_Oilseed_rape_myrosinase,G1
Germ_P2S2_Colza_myro_c,Germ,P2S2,oIlseed_rape,P2,MLG17,59.97,Oilseed_rape_myrosinase,0,Germinated,Germinated_Oilseed_rape_myrosinase,G1
Germ_P2S2_GR24_a,Germ,P2S2,oIlseed_rape,P2,MLG17,64.22,GR24,0,Germinated,Germinated_GR24,G1
Germ_P2S2_GR24_b,Germ,P2S2,oIlseed_rape,P2,MLG17,53.36,GR24,0,Germinated,Germinated_GR24,G1
Germ_P2S2_GR24_c,Germ,P2S2,oIlseed_rape,P2,MLG17,55.84,GR24,0,Germinated,Germinated_GR24,G1
Germ_P2S2_Tabac_a,Germ,P2S2,oIlseed_rape,P2,MLG17,46.39,Tobacco,0,Germinated,Germinated_Tobacco,G1
Germ_P2S2_Tabac_b,Germ,P2S2,oIlseed_rape,P2,MLG17,53.58,Tobacco,0,Germinated,Germinated_Tobacco,G1
Germ_P2S2_Tabac_c,Germ,P2S2,oIlseed_rape,P2,MLG17,50.24,Tobacco,0,Germinated,Germinated_Tobacco,G1
Seed_P1S1_a,Seed,P1S1,oIlseed_rape,P1,MLG17,48.33,NA,0,NA,NA,G1
Seed_P1S1_b,Seed,P1S1,oIlseed_rape,P1,MLG17,42.65,NA,0,NA,NA,G1
Seed_P1S1_c,Seed,P1S1,oIlseed_rape,P1,MLG17,31.04,NA,0,NA,NA,G1
Seed_P1S2_a,Seed,P1S2,oIlseed_rape,P1,MLG17,50.43,NA,0,NA,NA,G1
Seed_P1S2_b,Seed,P1S2,oIlseed_rape,P1,MLG17,63.75,NA,0,NA,NA,G1
Seed_P1S2_c,Seed,P1S2,oIlseed_rape,P1,MLG17,64.56,NA,0,NA,NA,G1
Seed_P1S3_a,Seed,P1S3,oIlseed_rape,P1,MLG16,49.28,NA,0,NA,NA,G1
Seed_P1S3_b,Seed,P1S3,oIlseed_rape,P1,MLG16,32.03,NA,0,NA,NA,G1
Seed_P1S3_c,Seed,P1S3,oIlseed_rape,P1,MLG16,51.3,NA,0,NA,NA,G1
Seed_P1S4_a,Seed,P1S4,oIlseed_rape,P1,MLG17,53.29,NA,0,NA,NA,G1
Seed_P1S4_b,Seed,P1S4,oIlseed_rape,P1,MLG17,45.92,NA,0,NA,NA,G1
Seed_P1S4_c,Seed,P1S4,oIlseed_rape,P1,MLG17,99.6,NA,0,NA,NA,G1
Seed_P2S1_a,Seed,P2S1,oIlseed_rape,P2,MLG15,29.96,NA,0,NA,NA,G1
Seed_P2S1_b,Seed,P2S1,oIlseed_rape,P2,MLG15,38.47,NA,0,NA,NA,G1
Seed_P2S1_c,Seed,P2S1,oIlseed_rape,P2,MLG15,98.73,NA,0,NA,NA,G1
Seed_P2S2_a,Seed,P2S2,oIlseed_rape,P2,MLG17,55.23,NA,0,Seed,Seed_NA,G1
Seed_P2S2_b,Seed,P2S2,oIlseed_rape,P2,MLG17,48.71,NA,0,Seed,Seed_NA,G1
Seed_P2S2_c,Seed,P2S2,oIlseed_rape,P2,MLG17,55.89,NA,0,Seed,Seed_NA,G1
Seed_P2S3_a,Seed,P2S3,oIlseed_rape,P2,MLG17,59.72,NA,0,NA,NA,G1
Seed_P2S3_b,Seed,P2S3,oIlseed_rape,P2,MLG17,29.33,NA,0,NA,NA,G1
Seed_P2S3_c,Seed,P2S3,oIlseed_rape,P2,MLG17,62.55,NA,0,NA,NA,G1
Seed_P2S4_a,Seed,P2S4,oIlseed_rape,P2,MLG17,57.84,NA,0,NA,NA,G1
Seed_P2S4_b,Seed,P2S4,oIlseed_rape,P2,MLG17,51.16,NA,0,NA,NA,G1
Seed_P2S4_c,Seed,P2S4,oIlseed_rape,P2,MLG17,82.36,NA,0,NA,NA,G1
Seed_Pram_120_a,Seed,Pram_120,oIlseed_rape,P0,NA,71.48,NA,0,NA,NA,G1
Seed_Pram_120_b,Seed,Pram_120,oIlseed_rape,P0,NA,61.22,NA,0,NA,NA,G1
Seed_Pram_120_c,Seed,Pram_120,oIlseed_rape,P0,NA,73.13,NA,0,NA,NA,G1
Seed_Pram_120_d_a,Seed,Pram_120_d,oIlseed_rape,P0,NA,86.74,NA,0,NA,NA,G1
Seed_Pram_120_d_b,Seed,Pram_120_d,oIlseed_rape,P0,NA,42.39,NA,0,NA,NA,G1
Seed_Pram_120_d_c,Seed,Pram_120_d,oIlseed_rape,P0,NA,58.82,NA,0,NA,NA,G1
Soil_P2S1_a,Soil,P2S1,oIlseed_rape,P2,MLG15,17.61,NA,0,NA,NA,G1
Soil_P2S1_b,Soil,P2S1,oIlseed_rape,P2,MLG15,43.14,NA,0,NA,NA,G1
Soil_P2S1_c,Soil,P2S1,oIlseed_rape,P2,MLG15,50.01,NA,0,NA,NA,G1
Soil_P2S2_a,Soil,P2S2,oIlseed_rape,P2,MLG17,42.78,NA,0,Soil,Soil_NA,G1
Soil_P2S2_b,Soil,P2S2,oIlseed_rape,P2,MLG17,44.26,NA,0,Soil,Soil_NA,G1
Soil_P2S2_c,Soil,P2S2,oIlseed_rape,P2,MLG17,47.01,NA,0,Soil,Soil_NA,G1
Soil_P2S3_a,Soil,P2S3,oIlseed_rape,P2,MLG17,50.6,NA,0,NA,NA,G1
Soil_P2S3_b,Soil,P2S3,oIlseed_rape,P2,MLG17,36.23,NA,0,NA,NA,G1
Soil_P2S3_c,Soil,P2S3,oIlseed_rape,P2,MLG17,39.46,NA,0,NA,NA,G1
Soil_P2S4_a,Soil,P2S4,oIlseed_rape,P2,MLG17,37.56,NA,0,NA,NA,G1
Soil_P2S4_b,Soil,P2S4,oIlseed_rape,P2,MLG17,35.9,NA,0,NA,NA,G1
Soil_P2S4_c,Soil,P2S4,oIlseed_rape,P2,MLG17,40.54,NA,0,NA,NA,G1
Germ_P3S2_ACN_a,Germ,P3S2,tobacco,P3,MLG7,76.71,ACN,0.530706787109375,Conditioned,Conditioned_ACN,G2
Germ_P3S2_ACN_b,Germ,P3S2,tobacco,P3,MLG7,82.6,ACN,0.530706787109375,Conditioned,Conditioned_ACN,G2
Germ_P3S2_ACN_c,Germ,P3S2,tobacco,P3,MLG7,80.63,ACN,0.530706787109375,Conditioned,Conditioned_ACN,G2
Germ_P3S2_Chanvre_a,Germ,P3S2,tobacco,P3,MLG7,44.38,Hemp,0.530706787109375,Germinated,Germinated_Hemp,G2
Germ_P3S2_Chanvre_b,Germ,P3S2,tobacco,P3,MLG7,45.11,Hemp,0.530706787109375,Germinated,Germinated_Hemp,G2
Germ_P3S2_Chanvre_c,Germ,P3S2,tobacco,P3,MLG7,43.55,Hemp,0.530706787109375,Germinated,Germinated_Hemp,G2
Germ_P3S2_Colza_a,Germ,P3S2,tobacco,P3,MLG7,66.9,Oilseed_rape,0.530706787109375,Germinated,Germinated_Oilseed_rape,G2
Germ_P3S2_Colza_b,Germ,P3S2,tobacco,P3,MLG7,68.47,Oilseed_rape,0.530706787109375,Germinated,Germinated_Oilseed_rape,G2
Germ_P3S2_Colza_c,Germ,P3S2,tobacco,P3,MLG7,61.5,Oilseed_rape,0.530706787109375,Germinated,Germinated_Oilseed_rape,G2
Germ_P3S2_Colza_myro_a,Germ,P3S2,tobacco,P3,MLG7,67.94,Oilseed_rape_myrosinase,0.530706787109375,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P3S2_Colza_myro_b,Germ,P3S2,tobacco,P3,MLG7,71.67,Oilseed_rape_myrosinase,0.530706787109375,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P3S2_Colza_myro_c,Germ,P3S2,tobacco,P3,MLG7,70.36,Oilseed_rape_myrosinase,0.530706787109375,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P3S2_GR24_a,Germ,P3S2,tobacco,P3,MLG7,82.81,GR24,0.530706787109375,Germinated,Germinated_GR24,G2
Germ_P3S2_GR24_b,Germ,P3S2,tobacco,P3,MLG7,81.64,GR24,0.530706787109375,Germinated,Germinated_GR24,G2
Germ_P3S2_GR24_c,Germ,P3S2,tobacco,P3,MLG7,84.49,GR24,0.530706787109375,Germinated,Germinated_GR24,G2
Germ_P3S2_Tabac_a,Germ,P3S2,tobacco,P3,MLG7,47.35,Tobacco,0.530706787109375,Germinated,Germinated_Tobacco,G2
Germ_P3S2_Tabac_b,Germ,P3S2,tobacco,P3,MLG7,38.62,Tobacco,0.530706787109375,Germinated,Germinated_Tobacco,G2
Germ_P3S2_Tabac_c,Germ,P3S2,tobacco,P3,MLG7,39.49,Tobacco,0.530706787109375,Germinated,Germinated_Tobacco,G2
Germ_P4S1_ACN_a,Germ,P4S1,tobacco,P4,MLG1,76.05,ACN,0.474693298339844,Conditioned,Conditioned_ACN,G2
Germ_P4S1_ACN_b,Germ,P4S1,tobacco,P4,MLG1,72.78,ACN,0.474693298339844,Conditioned,Conditioned_ACN,G2
Germ_P4S1_ACN_c,Germ,P4S1,tobacco,P4,MLG1,70.51,ACN,0.474693298339844,Conditioned,Conditioned_ACN,G2
Germ_P4S1_Chanvre_a,Germ,P4S1,tobacco,P4,MLG1,41.88,Hemp,0.474693298339844,Germinated,Germinated_Hemp,G2
Germ_P4S1_Chanvre_b,Germ,P4S1,tobacco,P4,MLG1,42.81,Hemp,0.474693298339844,Germinated,Germinated_Hemp,G2
Germ_P4S1_Chanvre_c,Germ,P4S1,tobacco,P4,MLG1,35.37,Hemp,0.474693298339844,Germinated,Germinated_Hemp,G2
Germ_P4S1_Colza_a,Germ,P4S1,tobacco,P4,MLG1,42.04,Oilseed_rape,0.474693298339844,Germinated,Germinated_Oilseed_rape,G2
Germ_P4S1_Colza_b,Germ,P4S1,tobacco,P4,MLG1,27.38,Oilseed_rape,0.474693298339844,Germinated,Germinated_Oilseed_rape,G2
Germ_P4S1_Colza_c,Germ,P4S1,tobacco,P4,MLG1,42.32,Oilseed_rape,0.474693298339844,Germinated,Germinated_Oilseed_rape,G2
Germ_P4S1_Colza_myro_a,Germ,P4S1,tobacco,P4,MLG1,30.88,Oilseed_rape_myrosinase,0.474693298339844,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P4S1_Colza_myro_b,Germ,P4S1,tobacco,P4,MLG1,34.88,Oilseed_rape_myrosinase,0.474693298339844,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P4S1_Colza_myro_c,Germ,P4S1,tobacco,P4,MLG1,23.04,Oilseed_rape_myrosinase,0.474693298339844,Germinated,Germinated_Oilseed_rape_myrosinase,G2
Germ_P4S1_GR24_a,Germ,P4S1,tobacco,P4,MLG1,74.19,GR24,0.474693298339844,Germinated,Germinated_GR24,G2
Germ_P4S1_GR24_b,Germ,P4S1,tobacco,P4,MLG1,73.45,GR24,0.474693298339844,Germinated,Germinated_GR24,G2
Germ_P4S1_GR24_c,Germ,P4S1,tobacco,P4,MLG1,71.63,GR24,0.474693298339844,Germinated,Germinated_GR24,G2
Germ_P4S1_Tabac_a,Germ,P4S1,tobacco,P4,MLG1,48.35,Tobacco,0.474693298339844,Germinated,Germinated_Tobacco,G2
Germ_P4S1_Tabac_b,Germ,P4S1,tobacco,P4,MLG1,44.14,Tobacco,0.474693298339844,Germinated,Germinated_Tobacco,G2
Germ_P4S1_Tabac_c,Germ,P4S1,tobacco,P4,MLG1,41.64,Tobacco,0.474693298339844,Germinated,Germinated_Tobacco,G2
Seed_P3S1_a,Seed,P3S1,tobacco,P3,MLG6,31.57,NA,0.518211364746094,NA,NA,G2
Seed_P3S1_b,Seed,P3S1,tobacco,P3,MLG6,49.88,NA,0.518211364746094,NA,NA,G2
Seed_P3S1_c,Seed,P3S1,tobacco,P3,MLG6,56.2,NA,0.518211364746094,NA,NA,G2
Seed_P3S2_a,Seed,P3S2,tobacco,P3,MLG7,46.61,NA,0.530706787109375,Seed,Seed_NA,G2
Seed_P3S2_b,Seed,P3S2,tobacco,P3,MLG7,56.07,NA,0.530706787109375,Seed,Seed_NA,G2
Seed_P3S2_c,Seed,P3S2,tobacco,P3,MLG7,57.03,NA,0.530706787109375,Seed,Seed_NA,G2
Seed_P3S3_a,Seed,P3S3,tobacco,P3,MLG7,75.06,NA,0.530706787109375,NA,NA,G2
Seed_P3S3_b,Seed,P3S3,tobacco,P3,MLG7,34.52,NA,0.530706787109375,NA,NA,G2
Seed_P3S3_c,Seed,P3S3,tobacco,P3,MLG7,66.66,NA,0.530706787109375,NA,NA,G2
Seed_P3S4_a,Seed,P3S4,tobacco,P3,MLG7,45.08,NA,0.530706787109375,NA,NA,G2
Seed_P3S4_b,Seed,P3S4,tobacco,P3,MLG7,51.88,NA,0.530706787109375,NA,NA,G2
Seed_P3S4_c,Seed,P3S4,tobacco,P3,MLG7,53.21,NA,0.530706787109375,NA,NA,G2
Seed_P3S5_a,Seed,P3S5,tobacco,P3,MLG5,28.64,NA,0.518217468261719,NA,NA,G2
Seed_P3S5_b,Seed,P3S5,tobacco,P3,MLG5,71.04,NA,0.518217468261719,NA,NA,G2
Seed_P3S5_c,Seed,P3S5,tobacco,P3,MLG5,64.99,NA,0.518217468261719,NA,NA,G2
Seed_P4S1_a,Seed,P4S1,tobacco,P4,MLG1,59.8,NA,0.474693298339844,Seed,Seed_NA,G2
Seed_P4S1_b,Seed,P4S1,tobacco,P4,MLG1,50.49,NA,0.474693298339844,Seed,Seed_NA,G2
Seed_P4S1_c,Seed,P4S1,tobacco,P4,MLG1,50.38,NA,0.474693298339844,Seed,Seed_NA,G2
Seed_P4S2_a,Seed,P4S2,tobacco,P4,MLG2,63.31,NA,0.474693298339844,NA,NA,G2
Seed_P4S2_b,Seed,P4S2,tobacco,P4,MLG2,32.83,NA,0.474693298339844,NA,NA,G2
Seed_P4S2_c,Seed,P4S2,tobacco,P4,MLG2,50.7,NA,0.474693298339844,NA,NA,G2
Seed_P4S3_a,Seed,P4S3,tobacco,P4,MLG3,61.52,NA,0.493125915527344,NA,NA,G2
Seed_P4S3_b,Seed,P4S3,tobacco,P4,MLG3,54.06,NA,0.493125915527344,NA,NA,G2
Seed_P4S3_c,Seed,P4S3,tobacco,P4,MLG3,57.68,NA,0.493125915527344,NA,NA,G2
Seed_P4S4_a,Seed,P4S4,tobacco,P4,MLG4,14.29,NA,0.480943298339844,NA,NA,G2
Seed_P4S4_b,Seed,P4S4,tobacco,P4,MLG4,53.25,NA,0.480943298339844,NA,NA,G2
Seed_P4S4_c,Seed,P4S4,tobacco,P4,MLG4,70.59,NA,0.480943298339844,NA,NA,G2
Seed_P5S1_a,Seed,P5S1,tobacco,P5,MLG8,56.07,NA,0.524481201171875,NA,NA,G2
Seed_P5S1_b,Seed,P5S1,tobacco,P5,MLG8,65.07,NA,0.524481201171875,NA,NA,G2
Seed_P5S1_c,Seed,P5S1,tobacco,P5,MLG8,52.18,NA,0.524481201171875,NA,NA,G2
Seed_P5S2_a,Seed,P5S2,tobacco,P5,MLG9,58.91,NA,0.511993408203125,NA,NA,G2
Seed_P5S2_b,Seed,P5S2,tobacco,P5,MLG9,32.47,NA,0.511993408203125,NA,NA,G2
Seed_P5S2_c,Seed,P5S2,tobacco,P5,MLG9,53.26,NA,0.511993408203125,NA,NA,G2
Soil_P3S1_a,Soil,P3S1,tobacco,P3,MLG6,18.31,NA,0.518211364746094,NA,NA,G2
Soil_P3S1_b,Soil,P3S1,tobacco,P3,MLG6,41.57,NA,0.518211364746094,NA,NA,G2
Soil_P3S1_c,Soil,P3S1,tobacco,P3,MLG6,42.97,NA,0.518211364746094,NA,NA,G2
Soil_P3S2_a,Soil,P3S2,tobacco,P3,MLG7,31.64,NA,0.530706787109375,Soil,Soil_NA,G2
Soil_P3S2_b,Soil,P3S2,tobacco,P3,MLG7,34.52,NA,0.530706787109375,Soil,Soil_NA,G2
Soil_P3S2_c,Soil,P3S2,tobacco,P3,MLG7,46.12,NA,0.530706787109375,Soil,Soil_NA,G2
Soil_P3S3_a,Soil,P3S3,tobacco,P3,MLG7,45.69,NA,0.530706787109375,NA,NA,G2
Soil_P3S3_b,Soil,P3S3,tobacco,P3,MLG7,39.47,NA,0.530706787109375,NA,NA,G2
Soil_P3S3_c,Soil,P3S3,tobacco,P3,MLG7,36.41,NA,0.530706787109375,NA,NA,G2
Soil_P3S4_a,Soil,P3S4,tobacco,P3,MLG7,31.29,NA,0.530706787109375,NA,NA,G2
Soil_P3S4_b,Soil,P3S4,tobacco,P3,MLG7,35.07,NA,0.530706787109375,NA,NA,G2
Soil_P3S4_c,Soil,P3S4,tobacco,P3,MLG7,40.99,NA,0.530706787109375,NA,NA,G2
Soil_P3S5_a,Soil,P3S5,tobacco,P3,MLG5,16.09,NA,0.518217468261719,NA,NA,G2
Soil_P3S5_b,Soil,P3S5,tobacco,P3,MLG5,34.93,NA,0.518217468261719,NA,NA,G2
Soil_P3S5_c,Soil,P3S5,tobacco,P3,MLG5,49.02,NA,0.518217468261719,NA,NA,G2
Soil_P4S1_a,Soil,P4S1,tobacco,P4,MLG1,21.61,NA,0.474693298339844,Soil,Soil_NA,G2
Soil_P4S1_b,Soil,P4S1,tobacco,P4,MLG1,20.73,NA,0.474693298339844,Soil,Soil_NA,G2
Soil_P4S1_c,Soil,P4S1,tobacco,P4,MLG1,35.57,NA,0.474693298339844,Soil,Soil_NA,G2
