Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
c13fa8601ce02184b47291c4625e0362,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Guehomyces,Guehomyces_pullulans
c2f321544feb83b4404ab4f814b6bc3b,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Coniophora,Coniophora_eremophila
c328cdb6696d547bc2b7dccdd18a9f25,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,unidentified,unidentified,unidentified
c3bf31f7f456b245e519ea71eac7a9fc,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,unidentified,unidentified
c3bfff1bcdf2d0e12ad745f8c28a9e0e,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,Auricularia_mesenterica
c3e9735a16ef48a35e7ff9516e060604,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Minimedusa,Minimedusa_polyspora
c4e10482347b9355d0b8017eeb822de5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,unidentified
c564f29f0f9237163a8e33c39ab13a62,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum_gausapatum
c5821cc89d5e07f02214d99473f2b221,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Lepista,Lepista_sordida
c68030a6ade25731767648bda25c210c,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,unidentified
c6edaf891c9532856266e8cfece47cce,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,Auricularia_mesenterica
c7f433adb26789d6b4b458884b4e0a22,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,unidentified
c7fdd4d96720a0cb791d154ca289ead5,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_mucilaginosa
c8ada5dc52457c1f59740d2ead2e1a20,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
c8d3839bb3f6f6876249c0e7fddd7ce5,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Byssomerulius,Byssomerulius_corium
ca9a2d8d26a088b3cc5f68d649ab7b7f,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,unidentified
cad2107dd96f365be877aa748c30ac39,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
cb5102f1b81d6901b2c75d84624f1a87,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Peniophora_piceae
cb63c40152486a1b625d11714eaf84c7,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,unidentified,unidentified
cc402b5a7f6de5d78a89155045c5a901,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,unidentified,unidentified,unidentified
cc5bbe01d7b49f4c364863dfaa733ac4,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Baeospora,Baeospora_myosura
cd03635a3fa5e493b84f4ff06fde0259,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,unidentified
cd181ac1b14d77fa680d749a57d00e62,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
cd342ffdfa132c2da9b781b51dc72b1c,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,unidentified
cd8cd86ceab9322a288aa983d678207d,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
